FloorNum;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG;èoåªìG
27;;;2028|1|0|100;;2023|2|0|100;2013|2|0|100;2068|2|0|100;2058|2|0|100;2011|2|0|100;2012|2|0|100;2070|2|0|100;2002|2|0|100;;;;2044|2|0|100;;;;
28;;;;;2023|2|0|100;2013|2|0|100;2068|2|0|100;;2011|2|0|100;2012|2|0|100;2070|2|0|100;2002|2|0|100;;;;;;;;
29;;;2008|1|0|100;;2023|2|0|100;2015|2|0|100;2016|2|0|100;2006|2|0|100;2032|2|0|100;2030|2|0|100;2070|2|0|100;;2057|2|0|100;;;2064|2|0|100;;;;
30;;;2008|1|0|100;2029|2|0|100;;2015|2|0|100;2016|2|0|100;2006|2|0|100;2032|2|0|100;2030|2|0|100;2070|2|0|100;2065|2|0|100;2057|2|0|100;2009|2|0|100;2010|2|0|100;2064|2|0|100;2066|2|0|100;2022|2|0|100;;
31;;2028|2|0|100;;2029|2|0|100;;2015|2|0|100;;2006|2|0|100;2032|2|0|100;2030|2|0|100;;2065|2|0|100;2057|2|0|100;2009|2|0|100;2010|2|0|100;2064|2|0|100;2066|2|0|100;2022|2|0|100;;
32;;2028|2|0|100;;2029|2|0|100;2018|2|0|100;2047|2|0|100;2046|2|0|100;2049|2|0|100;2032|2|0|100;2037|2|0|100;;2065|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;;
33;;;;2029|2|0|100;2018|2|0|100;2047|2|0|100;2046|2|0|100;2049|2|0|100;;2037|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;;
34;;;;;2017|2|0|100;2012|2|0|100;2045|2|0|100;2049|2|0|100;2004|2|0|100;2005|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;;;2066|2|0|100;2022|2|0|100;2071|3|0|100;2008|2|0|100
35;;2035|2|0|100;;;2017|2|0|100;2012|2|0|100;2045|2|0|100;;2004|2|0|100;2005|2|0|100;2033|2|0|100;2027|2|0|100;2039|2|0|100;2021|1|0|20;2055|2|0|100;;2066|2|0|100;2014_|2|0|100;2071|3|0|100;2008|2|0|100
36;;2035|2|0|100;2038|2|0|100;;2007|3|0|100;2013|3|0|100;2003|3|0|100;2050|3|0|100;2051|3|0|100;2075|2|0|100;2072|3|0|50;;2056|2|0|50;2021|1|0|20;2055|2|0|100;2000|3|0|100;;2014_|2|0|100;2071|3|0|100;
37;2019|2|0|100;2035|2|0|100;2038|2|0|100;;2007|3|0|100;2013|3|0|100;2003|3|0|100;2050|3|0|100;2051|3|0|100;2075|2|0|100;2072|3|0|50;;2056|2|0|50;2021|1|0|20;2055|2|0|100;2000|3|0|100;2001|3|0|100;2014_|2|0|100;2071|3|0|100;
38;2019|2|0|100;;2038|2|0|100;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2072|3|0|50;;2056|2|0|50;2021|1|0|20;;2000|3|0|100;2001|3|0|100;;2071|3|0|100;
39;;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;;;2056|2|0|50;;;2000|3|0|100;2001|3|0|100;;2071|3|0|100;
40;;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2069|3|0|100;;2056|2|0|50;;2025|2|0|100;2000|3|0|100;2001|3|0|100;2067|2|0|100;;2008|2|0|100
41;2019|2|0|100;2040|2|0|100;;;2002|3|0|100;2023|3|0|100;2015|3|0|100;2016|3|0|100;;;2069|3|0|100;;2056|2|0|50;;2025|2|0|100;2000|3|0|100;;2067|2|0|100;;2008|2|0|100
42;2019|2|0|100;2040|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;2069|3|0|100;2054|3|0|50;2056|2|0|50;2055|2|0|100;;2000|3|0|100;2043|3|0|100;;;
43;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;2069|3|0|100;2054|3|0|50;;2055|2|0|100;;2000|3|0|100;2043|3|0|100;;;
44;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;;2054|3|0|50;;2055|2|0|100;;;2043|3|0|100;;;
45;;2075|2|0|100;;;2012|3|0|100;2011|3|0|100;2044|3|0|100;2068|3|0|100;2041|3|0|100;;;2054|3|0|50;;;;;2043|3|0|100;;;
46;;2075|2|0|100;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;;;2054|3|0|50;;;2025|2|0|100;;;;;
47;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;;;2054|3|0|50;;;2025|2|0|100;;;;;
48;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;2056|2|0|50;;;2033|3|0|100;;2025|2|0|100;;;;;
49;;;2017|3|0|100;;2049|3|0|100;2046|3|0|100;2047|3|0|100;;2048|3|0|100;2056|2|0|50;;;2033|3|0|100;;2025|2|0|100;;;;;
50;2019|2|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;;2027|3|0|100;2033|3|0|100;;;;;;;
51;2019|2|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;2033|3|0|100;2070|3|0|50;;;;;;2008|3|0|100
52;;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;;2070|3|0|50;;;2022|3|0|100;;;2008|3|0|100
53;2040|3|0|100;;;;2057|3|0|100;2009|3|0|100;2029|3|0|100;2025|3|0|100;;2056|2|0|50;2055|3|0|100;2027|3|0|100;;2070|3|0|50;;;2022|3|0|100;;;
54;2040|3|0|100;2038|3|0|100;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;2056|2|0|50;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
55;2040|3|0|100;2038|3|0|100;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
56;;;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;2070|3|0|50;2067|3|0|100;;2022|3|0|100;;;
57;;;2028|3|0|100;;2031|3|0|100;2026|3|0|50;2010|3|0|100;2018|3|0|100;2032|3|0|100;;2055|3|0|100;;;;2067|3|0|100;;2022|3|0|100;;;
58;;;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;;;;;;;;
59;2040|3|0|100;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;;;;;;;;
60;2040|3|0|100;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;2057|3|0|100;2009|3|0|100;;;;;;
61;;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;2057|3|0|100;2009|3|0|100;;;;;;
62;;;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;;2064|3|0|100;2065|3|0|100;2057|3|0|100;2009|3|0|100;2000|5|0|100;;;;;2008|3|0|100
63;;;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;;2064|3|0|100;2065|3|0|100;2057|3|0|100;2009|3|0|100;2000|5|0|100;;;;;2008|3|0|100
64;2075|3|0|100;2028|3|0|100;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;2010|3|0|100;2064|3|0|100;2065|3|0|100;;;2000|5|0|100;;;;;2008|3|0|100
65;2075|3|0|100;2028|3|0|100;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;2010|3|0|100;2064|3|0|100;2065|3|0|100;;;2000|5|0|100;;;;;
66;2075|3|0|100;2028|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
67;2075|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
68;2019|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;2006|3|0|100;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
69;2019|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;2006|3|0|100;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
70;2019|3|0|100;;;;2007|4|0|100;2013|4|0|100;2003|4|0|100;2050|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;;;;;;
71;2019|3|0|100;;;;2007|4|0|100;2013|4|0|100;2003|4|0|100;2050|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;
72;;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;
73;2019|3|0|100;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;;2075|4|0|100;;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;2008|4|0|100
74;2019|3|0|100;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;;2075|4|0|100;;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;2008|4|0|100
75;2019|3|0|100;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;2071|4|0|100;2056|3|0|50;;2069|4|0|100;2043|4|0|100;;;;2008|4|0|100
76;;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;;;;2069|4|0|100;2043|4|0|100;;;;
77;;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;;;;;2043|4|0|100;;;;
78;;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;;;;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
79;;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;2056|4|0|50;;;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
80;2040|4|0|100;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
81;2040|4|0|100;;;2029|4|0|100;;;;2025|4|0|100;;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2070|4|0|100;2017|4|0|100;;2022|4|0|100;;;
82;2040|4|0|100;;;2029|4|0|100;;;;2025|4|0|100;;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2070|4|0|100;2017|4|0|100;;2022|4|0|100;;;
83;;2028|4|0|100;2057|4|0|100;2029|4|0|100;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;2056|4|0|50;2055|4|0|100;2027|4|0|100;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;
84;;2028|4|0|100;2057|4|0|100;2029|4|0|100;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;2056|4|0|50;;;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;
85;;2028|4|0|100;2057|4|0|100;;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;;;;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;2008|4|0|100
86;2040|4|0|100;2038|4|0|100;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;;;2033|4|0|100;;;;;;;2008|4|0|100
87;2040|4|0|100;2038|4|0|100;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;;;;;;2009|4|0|100;;;;2008|4|0|100
88;;;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;2025|4|0|100;;;;;2009|4|0|100;;;;
89;;;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;2025|4|0|100;;;;;2009|4|0|100;;;;
90;;2028|4|0|100;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;2025|4|0|100;;;2010|4|0|100;;;;;;
91;;2028|4|0|100;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;;;;2010|4|0|100;;;;;;
92;;2028|4|0|100;;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2030|4|0|100;;2033|4|0|100;2027|4|0|100;;2010|4|0|100;;2032|4|0|100;;;;
93;2019|4|0|100;2038|4|0|100;2031|4|0|100;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2039|4|0|100;2036|4|0|100;2033|4|0|100;2027|4|0|100;2046|4|0|100;2010|4|0|100;;2032|4|0|100;;2014_|4|0|50;;2008|4|0|100
94;2019|4|0|100;2038|4|0|100;2031|4|0|100;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2039|4|0|100;2036|4|0|100;2033|4|0|100;2027|4|0|100;2046|4|0|100;;;2032|4|0|100;;2014_|4|0|50;;2008|4|0|100
95;2019|4|0|100;2038|4|0|100;2017|4|0|100;2035|4|0|150;;2069|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2032|4|0|100;;2014_|4|0|50;;
96;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|150;2007|4|0|100;2025|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2032|4|0|100;;2014_|4|0|50;;
97;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|150;2007|4|0|100;2025|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
98;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|100;2012|4|0|100;2025|4|0|100;2006|4|0|100;;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
99;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|100;2012|4|0|100;2025|4|0|100;2006|4|0|100;;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
