"ID";"usefulNameBase";"値段基礎値";"レア度";"両手装備";"装備難度";"属性";"攻撃基礎値";"攻撃修正値係数";"防御基礎値";"防御修正値係数";"修正値限界値";"能力スロット";"恒常能力";"$/メモ";"初期残りスロット";"$/ID memo";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"$/memo";"効果量基礎";"修正値出現分布";"修正値出現分布";"修正値出現分布";"修正値出現分布";"修正値出現分布";"状態値出現分布";"状態値出現分布"
1010;"ヤタノ鏡";2000;"$?RARITY_SP";;3;;0;1;0;1;50;4;;"攻撃反射";0;1010;"反射確率％";25;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1011;"ヤサカニノ勾玉";3000;"$?RARITY_SP";;3;;0;1;0;1;50;3;;"アイテム避け";0;1011;"アイテム回避率UP";50;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1012;"霧雨の剣";5000;"$?RARITY_SP";;3;"剣";0;1;0;1;50;;;;13;1012;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1013;"アマノムラクモノ剣";7000;"$?RARITY_SP";;3;"剣";20;1;2;1;50;;;;12;1013;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1014;"イナバの杵";300;"$?RARITY_B";1;4;;12;0.8;5;0.8;50;1;;"アイテムつぶし";7;1014;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1015;"ｽﾋﾟｱ･ｻﾞ･ｸﾞﾝｸﾞﾆﾙ";2200;"$?RARITY_SS";;5;;17;1;0;1;50;;;;8;1015;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1016;"スノートライデント";1600;"$?RARITY_A";1;5;;7;0.8;4;0.8;50;3;;"壁通";9;1016;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1017;"漆黒の大カミソリ";1200;"$?RARITY_SSS";1;5;"剣";10;0.8;3;0.8;50;2;;"即死";4;1017;"確率％";15;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1018;"鬼切";1200;"$?RARITY_B";;3;"剣";5;1;3;1;50;1;;"特攻";5;1018;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1019;"神切";1200;"$?RARITY_S";;3;"剣";5;1;3;1;50;1;;"特攻";5;1019;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1020;"人切";1200;"$?RARITY_S";;3;"剣";5;1;3;1;50;1;;"特攻";5;1020;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1021;"妖切";2000;"$?RARITY_SS";;4;"剣";13;1.1;9;1;70;2;;"特攻";7;1021;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1022;"妖精切";500;"$?RARITY_B";;2;"剣";4;1;3;1;50;1;;"特攻";5;1022;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1023;"青竜刀";150;"$?RARITY_C";;3;"剣";6;1;4;1;50;;;;6;1023;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1024;"磁器刀";300;"$?RARITY_B";;4;"剣";30;1;30;1;50;1;;"つかいすて";7;1024;"修正値ダウン";1;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1025;"犬走刀";600;"$?RARITY_B";;3;"剣";4;1;10;1;50;;;;10;1025;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1026;"正面天狗の盾";900;"$?RARITY_A";;2;;0;1;15;1;50;4;;"正面からの攻撃軽減";5;1026;"正面耐性";50;"重複耐性";25;"正面以外の耐性減少";50;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1027;"天狗団扇";1300;"$?RARITY_S";;2;;2;1;5;1;50;2;;"ふきとばし";4;1027;"吹き飛ばし確率";25;"吹き飛ばしマス";2;"吹き飛ばしダメージ";0;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1028;"のびーるアーム";2500;"$?RARITY_SP";;2;;4;1;0;1;50;5;;"のびる";0;1028;"最大攻撃マス";3;"防御力低下％";20;"命中力低下";20;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1029;"卒塔婆";500;"$?RARITY_B";;1;;5;1;3;1;50;1;;"幽霊特攻";5;1029;"ダメージＵＰ％";100;"重複ダメージＵＰ％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1030;"レーヴァテイン";2300;"$?RARITY_SS";;5;;10;1;0;1;50;4;;"火柱発生";5;1030;"火柱ターン";2;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1031;"悔悟の棒";800;"$?RARITY_B";;1;;4;1;2;1;50;2;;"ダメージで攻撃力ボーナス";5;1031;"100ダメージ毎に攻撃力UP";40;"100ダメージ毎に防御UP";40;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1032;"浄玻璃";1000;"$?RARITY_C";;2;;2;1;6;1;50;2;;"ダメージ反射";7;1032;"反射率";25;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1033;"お払い棒";500;"$?RARITY_C";;3;;5;1;7;1;50;3;;"二刀で攻撃力UP";8;1033;"攻撃UP%";35;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1034;"魔女箒";300;"$?RARITY_E";;2;;2;1;8;1;50;;;;8;1034;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1035;"フラワーパラソル";1000;"$?RARITY_SP";1;3;;7;0.8;9;0.8;50;2;;"レベルの高い相手に特攻";10;1035;"増加％";100;"減少％";25;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1036;"八雲卍傘";1800;"$?RARITY_B";1;3;;5;0.8;13;0.8;50;;;;13;1036;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1037;"鎖分銅";600;"$?RARITY_A";;4;;6;1;4;1;50;2;;"脱力";4;1037;"確率％";50;"強度";3;"ターン";10;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1038;"巫女針";350;"$?RARITY_C";;3;;9;1;2;1;50;;;;10;1038;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1039;"ミニ八卦炉";400;"$?RARITY_B";;2;;6;1;4;1;50;2;;"火属性";6;1039;"火耐性";60;"重複耐性";30;直接攻撃以外の火属性ボーナス;100;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1040;"バトン";380;"$?RARITY_C";;3;;3;1;3;1;50;2;1;"全ダメージ軽減 ";3;1040;"防御力Up率（千分率）";100;"防御力Up数";3;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1041;"警策";400;"$?RARITY_C";;3;;11;1;3;1;50;1;;"頑強";7;1041;"確率％";50;"強度";2;"ターン";10;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1042;"壊れたお守り";300;"$?RARITY_SP";;1;;0;-1;0;-1;50;;;;12;1042;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1043;"分厚い本";300;"$?RARITY_B";;2;;4;1;8;1;50;1;;"毒無効";8;1043;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1044;"猫車";1500;"$?RARITY_S";1;3;;3;0.8;3;0.8;50;5;;"アイテム所持量UP";0;1044;"アイテム所持量";10;"重複不可";;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1045;"宝塔";800;"$?RARITY_A";;2;;2;1;8;1;50;2;;"気属性耐性　攻撃";9;1045;"気耐性";50;"重複耐性";25;超遠距離ボーナス;50;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1046;"イカリ";550;"$?RARITY_C";1;4;;7;0.8;6;0.8;50;1;1;"ワープ無効";9;1046;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1047;"大盃";920;"$?RARITY_A";1;3;;2;0.8;2;0.8;50;1;1;"経験値UP防御力DOWN";6;1047;"経験値UP％";50;"防御力ダウン％";25;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1048;"大巻物";1800;"$?RARITY_A";;3;;3;1;0;1;50;3;;"魔法反射";4;1048;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1049;"制御棒";400;"$?RARITY_B";;3;;8;1;3;1;50;2;;"爆発ダメージ減";6;1049;"定数耐性";60;"定数耐性";30;定数攻撃倍率;100;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1050;"氷柱";200;"$?RARITY_C";;2;;2;1;5;1;50;2;;"冷気";6;1050;"冷気耐性";60;"重複耐性";30;直接攻撃以外の冷属性ボーナス;100;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1051;"道路標識";600;"$?RARITY_A";;3;;4;1;5;1;50;2;;"封印";5;1051;"確率％";50;"ターン";10;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1052;"要石";300;"$?RARITY_B";;4;;5;1;18;1;50;1;1;"ダメージ";10;1052;"移動時割合ダメージ";5;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1053;"緋想の剣 ";2500;"$?RARITY_SP";;5;"剣";9;1;5;1;50;8;;"モーニングスター";4;1053;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1054;"御幣 ";600;"$?RARITY_S";;3;;3;1;4;1;50;1;;"スロット増加";4;1054;"スロット増加個数";5;"基礎攻撃防御ダウン";4;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1055;"必殺の武器";1400;"$?RARITY_S";;2;;9;1;4;1;50;2;;"暴発";5;1055;"確率％";10;"攻撃力UP％";300;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1056;"金の延べ棒";1000;"$?RARITY_B";;1;;3;1;4;1;50;1;1;"防錆";6;1056;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1057;"マンドラゴラの鉢";650;"$?RARITY_B";;2;;3;1;2;1;50;1;;"防泥棒";6;1057;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1058;"蛍光刀";700;"$?RARITY_B";;3;"剣";5;1;5;1;50;2;;"攻防変化";8;1058;"HP０％の時の比率ボーナス％";-50;"HP100％の時の比率ボーナス％";50;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1059;"柄杓";400;"$?RARITY_A";;2;;1;1;4;1;50;2;;"水属性";5;1059;"水耐性";60;"重複耐性";30;直接攻撃以外の水属性ボーナス;100;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1060;"エレキテルの羽衣";400;"$?RARITY_B";;3;;3;1;7;1;50;2;;"雷属性";5;1060;"雷耐性";60;"重複耐性";30;直接攻撃以外の雷属性ボーナス;100;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
1061;"チャクラム";900;"$?RARITY_SP";;3;;8;1;6;1;50;0;;;4;1061;;;;;;;;;"-1|200";"0|1300";"1|900";"2|200";"3|50";"0|2400";"1|100"
