ID;usefulNameBase;値段基礎値;レア度;imagecolar1_real;imagecolar2_real;通常時最悪耐久回数;亀裂時最悪耐久回数;通常時破損率;亀裂時破損率;効果時腕輪ダメージ;スキルコスト満腹度;スキルスペルダメージ;状態値出現分布;状態値出現分布;状態値出現分布;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎;$/コメント列;効果量基礎
3019;中国の符;$?PRICE_SPELL_C;$?RARITY_C;FFCC3366;FF33CC33;10;5;0.03;0.04;-1;;;0|1900;1|50;-1|50;ターン;500;度数;5;満腹度減少DOWN％（下限あり）;100;気耐性％;50;射撃受けるダメージUP%;0
3020;モミジの符;$?PRICE_SPELL_A;$?RARITY_B;FFF4F4E4;FF9A1616;5;3;0.04;0.05;0;;;0|1900;1|50;-1|50;召喚敵数;4;;;;;;;;
3021;サクヤの符;$?PRICE_SPELL_SS;$?RARITY_A;FFDDDDDD;FF0C1BB0;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;ターン;5;反射増加数;4;曲がり増加数;2;射程増加;30;;
3022;カグヤの符;$?PRICE_SPELL_B;$?RARITY_A;FF996699;FF960000;10;5;0.03;0.04;3;;;0|1900;1|50;-1|50;ターン;100;;;;;;;;
3023;ユウギの符;$?PRICE_SPELL_S;$?RARITY_A;FFFFF000;FFFF0000;10;5;0.03;0.04;3;;;0|1900;1|50;-1|50;ターン;10;遠投距離増加数;100;;;;;;
3024;ケイネの符;$?PRICE_SPELL_A;$?RARITY_A;FF4A69EC;FFCDF2EB;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;;;;;;;;;;
3025;ユカリの符;$?PRICE_SPELL_SS;$?RARITY_A;FF91178D;FFE0E862;10;5;0.05;0.05;1;;;0|1900;1|50;-1|50;ダメージMHP分母;20;;;;;;;;
3026;チェンの符;$?PRICE_SPELL_C;$?RARITY_B;FFF62E24;FF15900f;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;;;高飛び確率％;50;;;;;;
3027;スイカの符;$?PRICE_SPELL_A;$?RARITY_A;FFEDBE4C;FF6229B8;10;5;0.03;0.04;100;;;0|1900;1|50;-1|50;修正値+;1;;;;;;;;
3028;コイシの符;$?PRICE_SPELL_C;$?RARITY_A;FFE9C73D;FF3C841F;5;3;1;1;1;;;0|1900;1|50;-1|50;ターン;20;;;;;;;;
3029;結句;$?PRICE_SPELL_C;$?RARITY_B;FF996600;FFDD2200;10;5;0.03;0.04;-1;;;0|1800;;;;;;;;;;;;
3030;ウツホの符;$?PRICE_SPELL_F;$?RARITY_B;FFFF0000;FF449944;10;5;0.03;0.04;-1;;;0|1900;1|50;-1|50;爆発ダメージ％;50;爆攻撃耐性％;50;;;;;;
3031;パルスィの符;$?PRICE_SPELL_B;$?RARITY_A;FF336633;FF336633;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;部屋敵イカリターン;10;元気確率％;50;元気ターン;100;元気強度;2;;
3032;サナエの符;$?PRICE_SPELL_B;$?RARITY_A;FF33CC66;FF33CC66;10;5;0.03;0.04;50;;;0|1900;1|50;-1|50;獲得経験値UP%;100;金縛りターン;50;;;;;;
3033;アヤの符;$?PRICE_SPELL_B;$?RARITY_A;FFFF0000;FFFF0000;10;5;0.03;0.04;4;;;0|1900;1|50;-1|50;吹き飛ばし距離;5;吹き飛ばしダメージ;40;;;;;;
3034;イクの符;$?PRICE_SPELL_S;$?RARITY_A;FF993333;FF993333;10;5;0.03;0.04;4;;;0|1900;1|50;-1|50;雷ダメージ;50;電気耐性％;50;金縛り付与率％;25;;;;
3035;オリンの符;$?PRICE_SPELL_E;$?RARITY_C;FF663300;FF663300;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;キャッツウォーク;;;;;;;;;
3036;コガサの符;$?PRICE_SPELL_C;$?RARITY_B;FF66CCFF;FF66CCFF;10;5;0.03;0.04;3;;;0|1900;1|50;-1|50;水ダメージ攻撃力;0;怯み確率％;30;怯みターン;1;;;;
3037;サトリの符;$?PRICE_SPELL_S;$?RARITY_A;FF666666;FF666666;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;;;;;;;;;;
3038;トラマルの符;$?PRICE_SPELL_D;$?RARITY_B;FFFFCC33;FFFFCC33;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;垂れ流し一万分率;100;店主垂れ流し個数倍率％;100;;;;;;
3039;ナズーリンの符;$?PRICE_SPELL_A;$?RARITY_A;FF999999;FF999999;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;;;;;;;;;;
3040;ヌエの符;430;$?RARITY_B;FF333333;FF333333;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;状態異常確率％;50;;;;;;;;
3041;はたての符;$?PRICE_SPELL_C;$?RARITY_B;FFCC3399;FFCC3399;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;;;;;;;;;;
3042;ミスティアの符;$?PRICE_SPELL_E;$?RARITY_C;FF993366;FF993366;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;目潰しターン;20;;;;;;;;
3043;ムラサの符;$?PRICE_SPELL_D;$?RARITY_B;FF66CCFF;FF66CCFF;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;水耐性％;50;;;;;;;;
3044;ユウカの符;$?PRICE_SPELL_A;$?RARITY_A;FFFFFF66;FFFFFF66;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;キグニターン;20;元気強度;20;軟弱強度;20;元気軟弱ターン;20;会心確率％;30
3045;ランの符;$?PRICE_SPELL_B;$?RARITY_A;FFFFCC33;FFFFCC33;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;;;;;;;;;;
3046;レティの符;$?PRICE_SPELL_E;$?RARITY_B;FFCCCCFF;FFCCCCFF;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;部屋敵氷付けターン;30;部屋攻撃力;20;冷気耐性％;50;炎脱力軟弱ターン;10;;
3047;ヤマメの符;$?PRICE_SPELL_D;$?RARITY_B;FF990000;FF990000;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;前の敵を脱力軟弱ターン;500;脱力強度;10;軟弱強度;10;;;;
3048;リリーの符;$?PRICE_SPELL_D;$?RARITY_B;FFFFCCFF;FFFFCCFF;10;5;0.03;0.04;2;;;0|1900;1|50;-1|50;部屋敵バクスイターン;15;ワープ確率%;1;;;;;;
3049;エイキの符;$?PRICE_SPELL_S;$?RARITY_S;FF009933;FF009933;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;有罪確率％;50;特攻攻撃力アップ％;50;;;;;;
3050;シズハの符;$?PRICE_SPELL_D;$?RARITY_B;FFFF6600;FFFF6600;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;;;;;;;;;;
3051;ミノリコの符;$?PRICE_SPELL_D;$?RARITY_B;FFFF6600;FFFF6600;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;芋ドロップ率%;20;;;;;;;;
3052;コマチの符;$?PRICE_SPELL_A;$?RARITY_A;FF990099;FF990099;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;;;;;;;;;;
3053;メディスンの符;$?PRICE_SPELL_B;$?RARITY_B;FF993366;FF993366;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;部屋敵脱力ターン;100;脱力強度;5;ダメージ;30;回復量％（強度?ターン?この値/100）;100;;
3054;モコウの符;$?PRICE_SPELL_S;$?RARITY_S;FFFF3300;FFFF3300;10;5;0.03;0.04;10;;;0|1900;1|50;-1|50;ダメージ;40;火耐性％;50;死亡時回復％;100;;;;
3055;ヒジリの符;$?PRICE_SPELL_S;$?RARITY_A;FF990099;FF990099;10;5;0.03;0.04;0;;;0|1900;1|50;-1|50;頑強倍速ターン;5;頑強強度;10;倍速強度;1;最大HPアップ率％;100;;
3056;テンシの符;$?PRICE_SPELL_S;$?RARITY_A;FF3399FF;FF3399FF;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;ダメージ;60;頑強確率％;10;頑強ターン数;5;頑強度;10;;
3057;イチリンの符;$?PRICE_SPELL_C;$?RARITY_B;FF99CCFF;FF99CCFF;10;5;0.03;0.04;1;;;0|1900;1|50;-1|50;;;;;;;;;;
