test;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵;出現敵
58;2057;コマチ;;;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;;;;;;;;
59;2058;ナズーリン;2040|3|0|100;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;;;;;;;;
60;2059;コガサ;2040|3|0|100;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;2057|3|0|100;2009|3|0|100;;;;;;
61;2060;イチリン;;2038|3|0|100;2035|3|0|100;;2030|3|0|100;2037|3|0|100;2039|3|0|100;2036|3|0|100;2034|3|0|100;;;2000|4|0|100;2057|3|0|100;2009|3|0|100;;;;;;
62;2061;イチリンノミ;;;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;;2064|3|0|100;2065|3|0|100;2057|3|0|100;2009|3|0|100;2000|5|0|100;;;;;2008|3|0|100
63;2062;ウンザン;;;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;;2064|3|0|100;2065|3|0|100;2057|3|0|100;2009|3|0|100;2000|5|0|100;;;;;2008|3|0|100
64;2063;ムラサ;2075|3|0|100;2028|3|0|100;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;2010|3|0|100;2064|3|0|100;2065|3|0|100;;;2000|5|0|100;;;;;2008|3|0|100
65;2064;トラマル;2075|3|0|100;2028|3|0|100;;;2058|3|0|100;2059|3|0|100;2063|3|0|100;2060|3|0|100;2066|3|0|100;2010|3|0|100;2064|3|0|100;2065|3|0|100;;;2000|5|0|100;;;;;
66;2065;ヒジリ;2075|3|0|100;2028|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
67;2066;ヌエ;2075|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
68;2067;カナコ;2019|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;2006|3|0|100;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
69;2068;レティ;2019|3|0|100;2038|3|0|100;2017|3|0|100;;2012|3|0|100;2045|3|0|100;2006|3|0|100;2004|3|0|100;2005|3|0|100;2033|3|0|100;2027|3|0|100;;;;2000|5|0|100;;2014_|3|0|100;;;
70;2069;リリー;2019|3|0|100;;;;2007|4|0|100;2013|4|0|100;2003|4|0|100;2050|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;;;;;;
71;2070;ハタテ;2019|3|0|100;;;;2007|4|0|100;2013|4|0|100;2003|4|0|100;2050|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;
72;2071;ゾンビF_;;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;2051|4|0|100;2075|4|0|100;2072|4|0|50;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;
73;2072;サニー;2019|3|0|100;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;;2075|4|0|100;;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;2008|4|0|100
74;2073;ルナ;2019|3|0|100;;;;2002|4|0|100;2023|4|0|100;2015|4|0|100;2016|4|0|100;;2075|4|0|100;;2071|4|0|100;2056|3|0|50;2021|2|0|20;2069|4|0|100;;;;;2008|4|0|100
75;2074;スター;2019|3|0|100;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;2071|4|0|100;2056|3|0|50;;2069|4|0|100;2043|4|0|100;;;;2008|4|0|100
76;2075;Exケーネ;;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;;;;2069|4|0|100;2043|4|0|100;;;;
77;;;;;;;2012|4|0|100;2011|4|0|100;2044|4|0|100;2068|4|0|100;2041|4|0|100;2054|4|0|25;;;;;;2043|4|0|100;;;;
78;2054;三姉妹;;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;;;;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
79;2072;三月精;;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;2056|4|0|50;;;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
80;;;2040|4|0|100;;;;2049|4|0|100;2046|4|0|100;2047|4|0|100;;2048|4|0|100;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2021|2|0|20;2017|4|0|100;2043|4|0|100;;;;
81;;;2040|4|0|100;;;2029|4|0|100;;;;2025|4|0|100;;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2070|4|0|100;2017|4|0|100;;2022|4|0|100;;;
82;;;2040|4|0|100;;;2029|4|0|100;;;;2025|4|0|100;;2056|4|0|50;2055|4|0|100;2027|4|0|100;;2070|4|0|100;2017|4|0|100;;2022|4|0|100;;;
83;;;;2028|4|0|100;2057|4|0|100;2029|4|0|100;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;2056|4|0|50;2055|4|0|100;2027|4|0|100;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;
84;;;;2028|4|0|100;2057|4|0|100;2029|4|0|100;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;2056|4|0|50;;;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;
85;;;;2028|4|0|100;2057|4|0|100;;2031|4|0|100;2026|4|0|100;2010|4|0|100;2018|4|0|100;2032|4|0|100;;;;2033|4|0|100;2070|4|0|100;;2067|4|0|100;2022|4|0|100;;;2008|4|0|100
86;;;2040|4|0|100;2038|4|0|100;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;;;2033|4|0|100;;;;;;;2008|4|0|100
87;;;2040|4|0|100;2038|4|0|100;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;;;;;;2009|4|0|100;;;;2008|4|0|100
88;;;;;;;2030|4|0|100;2037|4|0|100;2039|4|0|100;2036|4|0|100;2034|4|0|100;2035|4|0|100;2025|4|0|100;;;;;2009|4|0|100;;;;
89;;;;;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;2025|4|0|100;;;;;2009|4|0|100;;;;
90;;;;2028|4|0|100;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;2025|4|0|100;;;2010|4|0|100;;;;;;
91;;;;2028|4|0|100;;;2058|4|0|100;2059|4|0|100;2063|4|0|100;2060|4|0|100;2066|4|0|100;;;;;2010|4|0|100;;;;;;
92;;;;2028|4|0|100;;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2030|4|0|100;;2033|4|0|100;2027|4|0|100;;2010|4|0|100;;2032|4|0|100;;;;
93;;;2019|4|0|100;2038|4|0|100;2031|4|0|100;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2039|4|0|100;2036|4|0|100;2033|4|0|100;2027|4|0|100;2046|4|0|100;2010|4|0|100;;2032|4|0|100;;2014_|4|0|50;;2008|4|0|100
94;;;2019|4|0|100;2038|4|0|100;2031|4|0|100;;2012|4|0|100;2069|4|0|100;2064|4|0|100;2065|4|0|100;2039|4|0|100;2036|4|0|100;2033|4|0|100;2027|4|0|100;2046|4|0|100;;;2032|4|0|100;;2014_|4|0|50;;2008|4|0|100
95;;;2019|4|0|100;2038|4|0|100;2017|4|0|100;2035|4|0|150;;2069|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2032|4|0|100;;2014_|4|0|50;;
96;;;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|150;2007|4|0|100;2025|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2032|4|0|100;;2014_|4|0|50;;
97;;;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|150;2007|4|0|100;2025|4|0|100;2006|4|0|100;2045|4|0|100;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;2057|4|0|100;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
98;;;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|100;2012|4|0|100;2025|4|0|100;2006|4|0|100;;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
99;;;2019|4|0|100;2038|4|0|150;2017|4|0|100;2035|4|0|100;2012|4|0|100;2025|4|0|100;2006|4|0|100;;2004|4|0|100;2005|4|0|100;2033|4|0|100;2027|4|0|100;;2021|3|0|40;2055|4|0|100;2068|4|0|100;2066|4|0|100;2014_|4|0|50;;
