$/WL=壁|||||||||||||||||||||||||||||||||||||||
$/WE=壁端(破壊不可能)|||||||||||||||||||||||||||||||||||||||
$/WT=水|||||||||||||||||||||||||||||||||||||||
$/-1=通路|||||||||||||||||||||||||||||||||||||||
$/0以上の整数=部屋（数字が部屋番号）|||||||||||||||||||||||||||||||||||||||
$/Y0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|WT|3|3|3|3|WL|WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WT|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|-1|-1|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|3|3|3|3|3|WL|WL|WL|3|3|3|WL|WL|WL|3|3|3|3|3|3|3|WL|-1|WL|WL
$/Y20|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|3|3|3|WL|WL|WL|3|3|3|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|-1|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|3|3|3|WL|WL|WL|3|3|3|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|-1|-1|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|3|3|WL|WL|WL|3|3|3|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|-1|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|3|3|3|WL|WL|3|3|3|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|-1|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|3|3|3|3|3|3|3|3|WL|WL|WL|WL|WL|WL|WL|4|4|4|4|4|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|3|3|3|3|3|3|3|3|WL|WL|WL|WL|WL|WL|WL|4|4|4|4|4|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|3|3|3|3|3|WL|WL|WL|WL|WL|WL|WL|4|4|4|4|4|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|3|3|3|3|WL|WL|WL|WL|WL|WL|WL|4|4|4|4|4|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|3|3|3|3|WL|WL|WL|WL|WL|WL|WL|4|4|4|4|4|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|WL|3|3|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
$/Y30|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
WL|WL|-1|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
0|0|0|0|0|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
0|0|0|0|0|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
0|0|0|0|0|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
0|0|0|0|0|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
0|0|0|0|0|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WT|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL|WL
$/Y40|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39
