;"FullNameBase";"FullNameSubBase";"ShortNameBase";"ShortNameSubBase";"titleName";"CLASSName";"CLASSName";"CLASSName";"CLASSName";"CLASSName";"CLASSName"
2064;"寅丸星";;"寅丸";;;"寅丸Easy";"寅丸Normal";"寅丸Hard";"寅丸Lunatic";"寅丸Extra";"寅丸Phantasm"
2065;"聖白蓮";;"聖";;;"聖Easy";"聖Normal";"聖Hard";"聖Lunatic";"聖Extra";"聖Phantasm"
2066;"封獣ぬえ";;"ぬえ";;;"ぬえEasy";"ぬえNormal";"ぬえHard";"ぬえLunatic";"ぬえExtra";"ぬえPhantasm"
2067;"八坂神奈子";;"神奈子";;;"神奈子Easy";"神奈子Normal";"神奈子Hard";"神奈子Lunatic";"神奈子Extra";"神奈子Phantasm"
2068;"レティ・ホワイトロック";;"レティ";;;"レティEasy";"レティNormal";"レティHard";"レティLunatic";"レティExtra";"レティPhantasm"
2069;"リリー・ホワイト";;"リリー";;;"リリーEasy";"リリーNormal";"リリーHard";"リリーLunatic";"リリーExtra";"リリーPhantasm"
2070;"姫海棠はたて";;"はたて";;;"はたてEasy";"はたてNormal";"はたてHard";"はたてLunatic";"はたてExtra";"はたてPhantasm"
2071;"ゾンビフェアリー";;"ゾンビフェアリー";;;"ゾンビフェアリーEasy";"ゾンビフェアリーNormal";"ゾンビフェアリーHard";"ゾンビフェアリーLunatic";"ゾンビフェアリーExtra";"ゾンビフェアリーPhantasm"
2072;"サニーミルク";;"サニー";;;"サニーEasy";"サニーNormal";"サニーHard";"サニーLunatic";"サニーExtra";"サニーPhantasm"
2073;"ルナチャイルド";;"ルナ";;;"ルナEasy";"ルナNormal";"ルナHard";"ルナLunatic";"ルナExtra";"ルナPhantasm"
2074;"スターサファイア";;"スター";;;"スターEasy";"スターNormal";"スターHard";"スターLunatic";"スターExtra";"スターPhantasm"
2075;"EX慧音";;"EX慧音";;;"EX慧音Easy";"EX慧音Normal";"EX慧音Hard";"EX慧音Lunatic";"EX慧音Extra";"EX慧音Phantasm"
2076;"茨木華扇";;"華扇";;;"華扇Easy";"華扇Normal";"華扇Hard";"華扇Lunatic";"華扇Extra";"華扇Phantasm"
2077;"大鷲";;"大鷲";;;"大鷲Easy";"大鷲Normal";"大鷲Hard";"大鷲Lunatic";"大鷲Extra";"大鷲Phantasm"
2078;"雷獣";;"雷獣";;;"雷獣Easy";"雷獣Normal";"雷獣Hard";"雷獣Lunatic";"雷獣Extra";"雷獣Phantasm"
2079;;;;;;;;;;;
2080;"人形";;"人形";;;"人形Easy";"人形Easy";"人形Hard";"人形Lunatic";"人形Extra";"人形Phantasm"
